id,baseline_condition,sunk_cost_condition,scenario_topic
685,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
686,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
687,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
688,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
689,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
690,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
691,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
692,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
693,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
694,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
695,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
696,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
697,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
698,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
699,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
700,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
701,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
702,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
703,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
704,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
705,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
706,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
707,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
708,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
709,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
710,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
711,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
712,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
713,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
714,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
715,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
716,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
717,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
718,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
719,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 5 sessions, you realize that the gym is not as clean as you’d prefer, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 5 sessions,  you realize that the gym is not as clean as you’d prefer is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
720,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 2 weeks, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 2 weeks,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
721,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 2 weeks, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 2 weeks,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
722,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 2 weeks, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 2 weeks,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
723,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 2 weeks, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 2 weeks,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
724,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 2 weeks, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 2 weeks,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
725,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 2 weeks, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 2 weeks,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
726,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 2 weeks, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 2 weeks,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
727,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 2 weeks, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 2 weeks,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
728,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 2 weeks, you realize that too crowded during your preferred hours, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 2 weeks,  you realize that too crowded during your preferred hours is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
729,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 2 weeks, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 2 weeks,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
730,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 2 weeks, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 2 weeks,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
731,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 2 weeks, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 2 weeks,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
732,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 2 weeks, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 2 weeks,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
733,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 2 weeks, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 2 weeks,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
734,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 2 weeks, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 2 weeks,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
735,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 2 weeks, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 2 weeks,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
736,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 2 weeks, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 2 weeks,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
737,"You signed up for a corporate-sponsored membership trial at a local gym. The gym offers several features, with the main highlight being nutrition counseling.  However, after 2 weeks, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being nutrition counseling. However, after 2 weeks,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
